ISO-alpha3 Code,Climate mentions,Climate per 1000 words,Country or Area,Country group,Talk group,Mentioned climate,CO2 start,CO2 end,CO2 change (%),CO2 change check (%),Low-carbon share start,Low-carbon share end,Low-carbon share change (pp),Low-carbon share change check (pp)
SDN,0,0.0,Sudan,Non-Annex I (developing),Low third,False,0.356,0.353,-0.8426966292134797,35.67415730337078,64.62956734444275,79.68856205020306,15.058994705760313,-0.8811328895332551
SEN,11,3.966566844959499,Senegal,Non-Annex I (developing),High third,True,0.675,0.762,12.888888888888882,15.111111111111097,9.009068230298208,19.790343074968234,10.781274844670026,4.393011005442169
SGP,11,6.642512077294686,Singapore,Non-Annex I (developing),High third,True,8.941,9.245,3.400067106587623,-3.332960518957606,2.903739354126046,4.932060181697284,2.0283208275712377,-0.11466893710119219
SLB,38,7.138898165700049,Solomon Islands,Non-Annex I (developing),High third,True,0.464,0.36,-22.41379310344829,-12.068965517241391,0.0,9.090976794065954,9.090976794065954,0.0
SLE,16,3.6432132095859595,Sierra Leone,Non-Annex I (developing),High third,True,0.154,0.166,7.792207792207795,-5.844155844155852,74.99890037387289,95.23868312757202,20.23978275369913,20.002259449833915
SLV,1,0.37369207772795215,El Salvador,Non-Annex I (developing),Low third,True,1.073,1.416,31.966449207828518,14.352283317800563,,,,
SMR,3,1.2245428682880548,San Marino,Non-Annex I (developing),Low third,True,,,,,,,,
SOM,1,0.2008838891120932,Somalia,Non-Annex I (developing),Low third,True,0.067,0.069,2.9850746268656803,0.0,0.0,20.93187745899828,20.93187745899828,5.407044755426542
SRB,14,1.6839066634592255,Serbia,Non-Annex I (developing),Middle third,True,6.116,6.238,1.9947678221059695,4.316546762589923,26.89544785490905,32.06169032361539,5.166242468706336,1.6178448217258037
SSD,1,0.2881844380403458,South Sudan,Non-Annex I (developing),Low third,True,0.172,0.142,-17.441860465116278,-1.1627906976743985,0.0,1.785143003391132,1.785143003391132,0.0
STP,9,2.70141317299139,Sao Tome and Principe,Non-Annex I (developing),Middle third,True,0.677,0.602,-11.078286558345651,1.477104874446078,9.99997996919262,,,-0.9091237885977232
SUR,16,6.04950604950605,Suriname,Non-Annex I (developing),High third,True,4.666,4.709,0.9215602228889619,-6.879554222031736,26.34408282719183,52.8735674094212,26.52948458222937,21.204932559296633
SVK,11,2.93369007110849,Slovakia,Annex I (developed),High third,True,6.37,5.283,-17.06436420722135,-2.496075353218208,79.63936627960486,85.80623558369872,6.166869304093865,-1.9009766859171435
SVN,6,2.619795449972547,Slovenia,Annex I (developed),High third,True,6.631,6.018,-9.244457849494802,1.7191977077363862,67.56756831992188,76.06224313555241,8.494674815630532,0.7772995325518508
SWE,11,3.6665513663092355,Sweden,Annex I (developed),High third,True,4.42,3.592,-18.733031674208146,-10.24886877828054,98.05555266544734,98.79175167202622,0.7361990065788859,-0.044625256529585045
SWZ,11,2.636962552011096,Eswatini,Non-Annex I (developing),Middle third,True,0.744,0.841,13.03763440860215,25.268817204301076,94.73671547708197,96.72137159622261,1.984656119140638,-2.9000692376617963
SYC,15,5.491174782513365,Seychelles,Non-Annex I (developing),High third,True,4.646,5.003,7.684029272492476,7.920792079207928,2.17392013921594,15.873025732123798,13.69910559290786,4.843626979768203
SYR,0,0.0,Syrian Arab Republic,Non-Annex I (developing),Low third,False,1.602,1.288,-19.600499375780277,2.684144818976275,2.443122865826695,3.5369892899643003,1.0938664241376053,1.051537069829907
TCD,11,2.833382058734171,Chad,Non-Annex I (developing),Middle third,True,0.161,0.139,-13.664596273291918,-14.28571428571428,3.334798105561253,5.404070883853624,2.069272778292371,2.3809858482929687
TGO,14,3.2321714322391584,Togo,Non-Annex I (developing),Middle third,True,0.254,0.328,29.133858267716526,22.047244094488192,13.636655845199448,29.578015108101074,15.941359262901626,7.675208646268809
THA,10,2.91904124235724,Thailand,Non-Annex I (developing),Middle third,True,3.928,3.736,-4.887983706720966,0.33095723014255896,7.765833000456573,14.840614839070268,7.074781838613695,7.096652235688409
TJK,18,4.444192252668648,Tajikistan,Non-Annex I (developing),High third,True,0.614,1.014,65.14657980456026,48.85993485342019,99.06761386217912,94.59457267522019,-4.473041186958923,-7.607710198506936
TKM,9,2.779142154004357,Turkmenistan,Non-Annex I (developing),Middle third,True,10.15,10.809,6.492610837438417,-9.852216748768472,0.0,0.030286752429183716,0.030286752429183716,0.0
TLS,13,3.0418268541264752,Timor-Leste,Non-Annex I (developing),Middle third,True,0.49,0.477,-2.6530612244897944,5.91836734693878,0.0,0.0,0.0,0.0
TON,19,4.931834727365096,Tonga,Non-Annex I (developing),High third,True,1.001,1.464,46.25374625374627,52.34765234765235,0.0,14.285756813036496,14.285756813036496,14.285692716739616
TTO,25,3.911065136721404,Trinidad and Tobago,Non-Annex I (developing),High third,True,31.86,22.932,-28.022598870056502,-13.854362837413682,0.10449364488379133,0.10470769391566515,0.00021404903187381696,0.00419444595840579
TUN,1,0.26881720430107525,Tunisia,Non-Annex I (developing),Low third,True,2.752,2.661,-3.30668604651162,-6.431686046511609,2.9774085243076693,4.3986745090018715,1.4212659846942022,0.15611388276388238
TUR,0,0.0,Türkiye,Annex I (developed),Low third,False,4.845,5.865,21.05263157894739,-1.692466460268316,31.95553290908908,45.61439037770383,13.658857468614748,11.841520719108921
TUV,52,10.818629686762183,Tuvalu,Non-Annex I (developing),High third,True,0.667,1.183,77.36131934032984,55.47226386806594,,,,
TZA,20,3.538570417551309,United Republic of Tanzania,Non-Annex I (developing),High third,True,0.246,0.292,18.699186991869922,11.38211382113823,33.537275146184854,32.91840201028409,-0.6188731359007633,-0.3323949426907262
UGA,0,0.0,Uganda,Non-Annex I (developing),Low third,False,0.121,0.127,4.958677685950419,10.743801652892571,97.7460142935679,97.07398958378168,-0.6720247097862142,-0.8029181456798398
UKR,5,0.7043951776636245,Ukraine,Annex I (developed),Low third,True,4.889,3.764,-23.01084066271222,1.0840662712211069,57.875125385387,,,3.672806335517464
URY,0,0.0,Uruguay,Non-Annex I (developing),Low third,False,2.001,2.354,17.64117941029486,-5.747126436781613,93.15865049689353,98.87809617794836,5.719445681054836,5.098965522866493
USA,7,0.650958898688802,United States of America,Annex I (developed),Low third,True,16.461,14.197,-13.753720916104728,-5.838041431261765,33.14576755621264,41.869316388130564,8.723548831917924,4.613405575439941
UZB,1,1.092896174863388,Uzbekistan,Non-Annex I (developing),Low third,True,3.362,3.829,13.890541344437835,-2.587745389649021,11.879449243210209,15.950903001259503,4.071453758049294,-1.700072813063601
VAT,10,2.113377964408172,Holy See,Non-Annex I (developing),Middle third,True,,,,,,,,
VCT,31,7.032030480635061,Saint Vincent and the Grenadines,Non-Annex I (developing),High third,True,2.192,2.541,15.921532846715314,-3.74087591240877,13.33336185999542,13.333342278223194,-1.9581772226828775e-05,-1.9265949411817473e-05
VEN,1,0.1621796951021732,Venezuela (Bolivarian Republic of),Non-Annex I (developing),Low third,True,5.44,4.085,-24.908088235294123,-33.03308823529413,58.81430436062709,91.13940518864713,32.32510082802004,-0.43496687479877494
VNM,9,3.128361829416708,Viet Nam,Non-Annex I (developing),Middle third,True,2.299,3.673,59.76511526750763,51.892127011744236,34.78047278903571,42.2820995512804,7.50162676224469,-4.382384022041894
VUT,39,7.858926972082774,Vanuatu,Non-Annex I (developing),High third,True,0.496,0.601,21.169354838709676,13.911290322580626,16.66674058731433,,,16.66648459956275
WSM,73,14.329067106015449,Samoa,Non-Annex I (developing),High third,True,1.126,1.126,0.0,10.124333925399664,30.76925465018992,43.75,12.980745349810078,10.407244975266224
YEM,0,0.0,Yemen,Non-Annex I (developing),Low third,False,0.453,0.249,-45.033112582781456,-25.82781456953642,2.0832431730644396,11.238056955567236,9.154813782502796,12.551138149392926
ZAF,8,2.214908527308687,South Africa,Non-Annex I (developing),Middle third,True,8.065,6.872,-14.792312461252322,-2.0458772473651465,7.502480591948408,15.663373730885379,8.16089313893697,2.949190644605351
ZMB,11,2.6961687401563426,Zambia,Non-Annex I (developing),Middle third,True,0.337,0.565,67.65578635014835,41.83976261127596,97.03918419765314,87.47465336175328,-9.564530835899859,-12.387392023285116
ZWE,0,0.0,Zimbabwe,Non-Annex I (developing),Low third,False,0.835,0.824,-1.3173652694610793,-19.52095808383233,52.55473575789243,57.11499426066317,4.560258502770736,-0.9037876895962214
